epoch,train_loss,test_loss,test_acc,test_f1,best_f1
1,0.7863903867302241,0.7329229720822581,0.889808743169399,0.8933943062567735,0.8933943062567735
2,0.7467792999598529,0.7321883802647358,0.8909836065573771,0.8940182745431364,0.8940182745431364
3,0.7441331046548757,0.7323019275298486,0.8902185792349727,0.8931439817031009,0.8940182745431364
4,0.742760003498801,0.7322289522711214,0.8912568306010928,0.8937816920202829,0.8940182745431364
5,0.7419973516485074,0.7315955874803183,0.8922950819672131,0.8949920085242408,0.8949920085242408
6,0.7411248559926773,0.7311030146958944,0.8919945355191257,0.8956248514773058,0.8956248514773058
7,0.7406803931181247,0.7312628405911106,0.8917486338797814,0.8945884105784069,0.8956248514773058
8,0.7397507738087561,0.7303976062294486,0.8936885245901639,0.8963312285189033,0.8963312285189033
9,0.7395317847807924,0.7298329739303856,0.8947540983606558,0.8975041243148316,0.8975041243148316
10,0.739252664826133,0.7291756405697002,0.8955464480874317,0.8985268745852687,0.8985268745852687
11,0.7385674909903452,0.7287749260455578,0.8937978142076503,0.8987944905876533,0.8987944905876533
12,0.7382672690115608,0.7282908129525352,0.8963934426229508,0.8994431185361973,0.8994431185361973
13,0.7379414755460265,0.7277347995684698,0.8965027322404372,0.9003839478251723,0.9003839478251723
14,0.7376888240654985,0.7277087294138395,0.8979234972677596,0.900917625842041,0.900917625842041
15,0.7372533287722748,0.7275448283115467,0.8973497267759563,0.9007790835864254,0.900917625842041
16,0.7371490796754411,0.7283063189133064,0.8966939890710383,0.8994762449153219,0.900917625842041
17,0.7371281819431098,0.7268637231179884,0.8980874316939891,0.9017334949154329,0.9017334949154329
18,0.7369496539443523,0.7271504010353889,0.8991530054644808,0.9015129279291298,0.9017334949154329
19,0.7363060992080849,0.7270927433367376,0.8989071038251366,0.9015433741351783,0.9017334949154329
20,0.736554561326137,0.7272594025085023,0.8988524590163934,0.9010160427807486,0.9017334949154329
21,0.7365057659107488,0.7273101627409875,0.8979508196721312,0.9011878621127543,0.9017334949154329
22,0.7363514581343511,0.7267104016317354,0.8982513661202186,0.9019948418337808,0.9019948418337808
23,0.7361657428262117,0.7269364074393586,0.8981693989071038,0.9017944191193908,0.9019948418337808
24,0.7363617815129406,0.7266507061211379,0.8996174863387978,0.9023858866039641,0.9023858866039641
25,0.7363448946417629,0.7269259220236665,0.8988251366120219,0.9016598061346435,0.9023858866039641
26,0.736155331447408,0.7269235736840255,0.8987978142076503,0.9018495945731093,0.9023858866039641
27,0.7361192994497039,0.726689315342403,0.8989617486338798,0.9022210470650449,0.9023858866039641
28,0.7357381554125072,0.726635624478747,0.8981420765027323,0.9019669717050595,0.9023858866039641
29,0.7361351332360214,0.7264694625681097,0.899672131147541,0.9025167250716789,0.9025167250716789
30,0.7359060163160304,0.7262961897816691,0.9002459016393443,0.9027566919696365,0.9027566919696365
31,0.7356514474311908,0.7270341965702031,0.8997267759562841,0.9018559127132695,0.9027566919696365
32,0.7357090920522497,0.7263175015682941,0.8991803278688525,0.9025922601763371,0.9027566919696365
33,0.7360524792041812,0.7278158860606747,0.8986885245901639,0.9005578202102553,0.9027566919696365
34,0.7355859093628563,0.7262371486717171,0.8998907103825137,0.9028683526854355,0.9028683526854355
35,0.7356876549083036,0.726172533902255,0.9007923497267759,0.9031810788470256,0.9031810788470256
36,0.735974426661338,0.7265985428870141,0.8983333333333333,0.902189627526746,0.9031810788470256
37,0.7358045696274383,0.7264576416749221,0.8998360655737705,0.9027070063694268,0.9031810788470256
38,0.7358627676234378,0.7260680523785678,0.9007377049180327,0.9035085389498287,0.9035085389498287
39,0.7357707683752467,0.7261622043756338,0.9,0.9029177718832891,0.9035085389498287
40,0.7356863976879553,0.7260943488641218,0.8993169398907104,0.9027114079784566,0.9035085389498287
41,0.7358012894963051,0.7267215864641683,0.8986885245901639,0.9019877352505815,0.9035085389498287
42,0.7351339150454614,0.7262577147750587,0.9003551912568306,0.9027233202635299,0.9035085389498287
43,0.7357705813813042,0.7258424487980929,0.899808743169399,0.9033448430375076,0.9035085389498287
