epoch,train_loss,test_loss,test_acc,test_f1,best_f1
1,0.785306741880787,0.7328003186445969,0.8912841530054645,0.8937771964013989,0.8937771964013989
2,0.7468971073419064,0.7327001961794767,0.8910109289617486,0.8927889913188378,0.8937771964013989
3,0.7440230738553968,0.7327277297740216,0.8906284153005465,0.8924011504448566,0.8937771964013989
4,0.7431384165595462,0.7323624741781009,0.8903825136612021,0.893580901856764,0.8937771964013989
5,0.7422635214520501,0.7315260442820463,0.8922677595628415,0.8951469219518681,0.8951469219518681
6,0.7417483768471471,0.7308843385923159,0.8927049180327868,0.8957553555785618,0.8957553555785618
7,0.7409062969101059,0.7304747150494502,0.8932786885245901,0.8964639770980226,0.8964639770980226
8,0.7403461823200846,0.7303289704389505,0.8946174863387978,0.8970890365271219,0.8970890365271219
9,0.7404684068022908,0.7289564201048204,0.8951639344262295,0.8991351436607871,0.8991351436607871
10,0.7404546366704927,0.7291295365853743,0.8951092896174864,0.8983665581235274,0.8991351436607871
11,0.7398109984668818,0.7286188127277614,0.8969672131147541,0.8995551767306822,0.8995551767306822
12,0.7390860812022135,0.728150626162549,0.8975136612021858,0.9001783005561913,0.9001783005561913
13,0.7388626085919934,0.7279942656730438,0.897103825136612,0.9003176283748014,0.9003176283748014
14,0.7388729960559965,0.7281006795543057,0.8965846994535519,0.900029053643591,0.9003176283748014
15,0.7385314685794023,0.7276747914460989,0.8974590163934426,0.900427157676899,0.900427157676899
16,0.7379710816524245,0.7271619897622329,0.8984699453551912,0.9015002915761013,0.9015002915761013
17,0.7381398058333597,0.7274406431438206,0.8977322404371585,0.9008870647424865,0.9015002915761013
18,0.7379194568399783,0.7275749982653797,0.8968306010928961,0.9008975906776547,0.9015002915761013
19,0.7377797740322727,0.7274564129489285,0.8981693989071038,0.9008486525313256,0.9015002915761013
20,0.7375775726733508,0.7272634343667463,0.8987158469945355,0.9014017075830518,0.9015002915761013
21,0.7378977417320638,0.7271872446253583,0.8988251366120219,0.9011663597298957,0.9015002915761013
